"YEAR","MONTH","DAY","RRG05","Date"
2000,1,3,0.08,2000-01-03
2000,1,4,0.48,2000-01-04
2000,1,8,0.07,2000-01-08
2000,1,9,1.38,2000-01-09
2000,1,10,1.53,2000-01-10
2000,1,13,0.07,2000-01-13
2000,1,16,0.17,2000-01-16
2000,1,17,0.04,2000-01-17
2000,1,18,0.64,2000-01-18
2000,1,19,0.34,2000-01-19
2000,1,20,0.13,2000-01-20
2000,1,22,1.04,2000-01-22
2000,1,23,0.45,2000-01-23
2000,1,29,0.33,2000-01-29
2000,1,30,0.4,2000-01-30
2000,2,12,0.9,2000-02-12
2000,2,13,0.84,2000-02-13
2000,2,14,0.43,2000-02-14
2000,2,18,0.1,2000-02-18
2000,2,19,0.47,2000-02-19
2000,2,27,0.56,2000-02-27
2000,3,3,0.05,2000-03-03
2000,3,11,2.55,2000-03-11
2000,3,16,1.83,2000-03-16
2000,3,17,0.07,2000-03-17
2000,3,19,0.57,2000-03-19
2000,3,20,1.15,2000-03-20
2000,3,27,0.27,2000-03-27
2000,3,29,0.02,2000-03-29
2000,3,30,0.04,2000-03-30
2000,4,2,1.75,2000-04-02
2000,4,3,3.82,2000-04-03
2000,4,4,0.25,2000-04-04
2000,4,8,0.13,2000-04-08
2000,4,13,0.41,2000-04-13
2000,4,14,0.13,2000-04-14
2000,4,15,0.18,2000-04-15
2000,4,21,0.35,2000-04-21
2000,4,24,0.69,2000-04-24
2000,4,25,0.19,2000-04-25
2000,4,27,0.08,2000-04-27
2000,4,28,0.65,2000-04-28
2000,5,3,0.18,2000-05-03
2000,5,4,0.45,2000-05-04
2000,5,20,0.07,2000-05-20
2000,5,21,0.79,2000-05-21
2000,5,23,0.15,2000-05-23
2000,5,24,0.08,2000-05-24
2000,5,25,0.17,2000-05-25
2000,5,27,0.3,2000-05-27
2000,5,28,0.06,2000-05-28
2000,6,5,1.27,2000-06-05
2000,6,13,0.39,2000-06-13
2000,6,14,0.34,2000-06-14
2000,6,15,0.19,2000-06-15
2000,6,16,0.46,2000-06-16
2000,6,17,0.48,2000-06-17
2000,6,18,0.19,2000-06-18
2000,6,19,0.31,2000-06-19
2000,6,20,0.13,2000-06-20
2000,6,22,0.5,2000-06-22
2000,6,25,0.1,2000-06-25
2000,6,27,0.09,2000-06-27
2000,6,28,0.41,2000-06-28
2000,6,29,0.74,2000-06-29
2000,7,4,0.06,2000-07-04
2000,7,6,0.04,2000-07-06
2000,7,11,0.46,2000-07-11
2000,7,12,0.13,2000-07-12
2000,7,13,0.25,2000-07-13
2000,7,15,0.05,2000-07-15
2000,7,19,0.2,2000-07-19
2000,7,24,0.41,2000-07-24
2000,7,26,0.63,2000-07-26
2000,7,28,1.06,2000-07-28
2000,7,30,1,2000-07-30
2000,7,31,0.24,2000-07-31
2000,8,1,0.45,2000-08-01
2000,8,2,0.68,2000-08-02
2000,8,3,0.08,2000-08-03
2000,8,4,0.27,2000-08-04
2000,8,10,0.1,2000-08-10
2000,8,11,0.18,2000-08-11
2000,8,18,0.09,2000-08-18
2000,8,20,0.26,2000-08-20
2000,8,27,0.19,2000-08-27
2000,8,31,0.11,2000-08-31
2000,9,1,0.24,2000-09-01
2000,9,2,1.05,2000-09-02
2000,9,6,0.29,2000-09-06
2000,9,7,0.16,2000-09-07
2000,9,8,0.12,2000-09-08
2000,9,20,0.14,2000-09-20
2000,9,21,1.49,2000-09-21
2000,9,22,0.25,2000-09-22
2000,9,23,0.02,2000-09-23
2000,9,24,0.23,2000-09-24
2000,9,25,1.05,2000-09-25
2000,11,4,0.09,2000-11-04
2000,11,7,0.51,2000-11-07
2000,11,8,0.35,2000-11-08
2000,11,9,5.97,2000-11-09
2000,11,16,0.69,2000-11-16
2000,11,17,0.1,2000-11-17
2000,11,19,0.43,2000-11-19
2000,11,24,0.56,2000-11-24
2000,11,25,1.29,2000-11-25
2000,12,2,0.08,2000-12-02
2000,12,3,0.27,2000-12-03
2000,12,11,0.05,2000-12-11
2000,12,12,0.14,2000-12-12
2000,12,13,0.38,2000-12-13
2000,12,14,0.52,2000-12-14
2000,12,15,0.01,2000-12-15
2000,12,16,1.79,2000-12-16
2000,12,17,0.16,2000-12-17
2000,12,19,0.28,2000-12-19
2000,12,27,0.19,2000-12-27
2001,1,7,0.07,2001-01-07
2001,1,8,0.55,2001-01-08
2001,1,11,0.18,2001-01-11
2001,1,12,0.44,2001-01-12
2001,1,14,0.05,2001-01-14
2001,1,17,0.25,2001-01-17
2001,1,18,1.66,2001-01-18
2001,1,19,2.56,2001-01-19
2001,1,20,0.01,2001-01-20
2001,1,26,0.03,2001-01-26
2001,1,29,0.75,2001-01-29
2001,1,30,0.56,2001-01-30
2001,2,9,0.36,2001-02-09
2001,2,10,0.34,2001-02-10
2001,2,11,0.07,2001-02-11
2001,2,12,0.33,2001-02-12
2001,2,13,0.28,2001-02-13
2001,2,14,0.49,2001-02-14
2001,2,15,0.29,2001-02-15
2001,2,16,1.3,2001-02-16
2001,2,17,0.13,2001-02-17
2001,2,21,0.13,2001-02-21
2001,2,22,0.76,2001-02-22
